title,channel_name,원곡명,아티스트
ずっと真夜中でいいのに。『秒針を噛む』MV (ZUTOMAYO – Byoushinwo Kamu),ずっと真夜中でいいのに。 ZUTOMAYO,秒針を噛む,ずっと真夜中でいいのに
"사랑요리를 만들어줘, 셰프😊: tuki - 만찬가(晩餐歌, Bansanka) [가사/발음/한글 자막/해석]",한본어 하는 고양이,晩餐歌,tuki
ロクデナシ「ただ声一つ」/ Rokudenashi - One Voice【Official Music Video】,ロクデナシ,ただ声一つ,ロクデナシ
SPYAIR - Some Like It Hot!!,SPYAIRVEVO,Some Like It Hot!!,SPYAIR
海の幽霊 (米津玄師) ／ダズビー COVER,DAZBEE official,海の幽霊,米津玄師
Silhouette,KANA-BOON - Topic,Silhouette,KANA-BOON
空に沈む。 / ヨノ【Official MV】,ヨノ-Yono,空に沈む,ヨノ
Pretender（Official髭男dism）-Arrange ver.-cover【まふまふ】,まふまふちゃんねる,Pretender,Official髭男dism
"ITZY ""TUNNEL VISION"" M/V",JYP Entertainment,TUNNEL VISION,ITZY
Mrs. GREEN APPLE「ライラック」Official Music Video,Mrs. GREEN APPLE,ライラック,Mrs. GREEN APPLE
Soranji (Mrs. GREEN APPLE) ／ダズビー COVER,DAZBEE official,Soranji,Mrs. GREEN APPLE
에픽세븐 x 아이리 칸나(Airi Kanna) | ‘Frozen Eclipse’,아이리 칸나 Music Official,Frozen Eclipse,아이리 칸나
"JANE DOE (Kenshi Yonezu, Hikaru Utada) | 시라유키 히나 x 아오쿠모 린 Cover",시라유키 히나 SHIRAYUKI HINA,JANE DOE,Kenshi Yonezu
未来古代楽団 feat. DAZBEE 「はじまりのまえ、おしまいのあと」【Official Video】,DAZBEE official,はじまりのまえ、おしまいのあと,未来古代楽団
【歌ってみた】a.m.3:21 - yama covered by 明透,明透 -ᴀsᴜ-,a.m.3:21,yama
【Ado】ロックスター,Ado,ロックスター,Ado
『サクラキミワタシ』 acoustic ver. 優里×tuki.,優里ちゃんねる【公式】,サクラキミワタシ,tuki.
悪魔の子 (ヒグチアイ) ／ダズビー COVER,DAZBEE official,悪魔の子,ヒグチアイ
好きだから。/ 『ユイカ』【MV】,『ユイカ』,好きだから,ユイカ
ロスタルジー - youまん (Cover) / KMNZ TINA,TINA Music,ロスタルジー,youまん
Miiro 「NEMESIS」 feat. 새빛 OFFICIAL MV,Miiro,NEMESIS,Miiro
ロクデナシ「ユリイカ」/ Rokudenashi - Eureka【Official Music Video】,ロクデナシ,ユリイカ,ロクデナシ
Miiro 「계절범죄」 feat. 새빛 OFFICIAL MV,Miiro,계절범죄,Miiro
【MV】九尾 / 9Lana,9Lana,九尾,9Lana
ヨルシカ - 晴る（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,ヨルシカ,晴る
鬼の居ぬ間に (羽生まゐご) ／ダズビー COVER,DAZBEE official,鬼の居ぬ間に,羽生まゐご
アスノヨゾラ哨戒班 (Orangestar) arrange ver.／ダズビー COVER,DAZBEE official,アスノヨゾラ哨戒班,Orangestar
Feel This Moment,Pitbull - Topic,Feel This Moment,Pitbull
This Feeling,The Chainsmokers - Topic,This Feeling,The Chainsmokers
Lily,Alan Walker - Topic,Lily,Alan Walker
Best Day Of My Life,American Authors - Topic,Best Day Of My Life,American Authors
Billionaire (feat. Bruno Mars),Travie McCoy - Topic,Billionaire ,Travie McCoy
How Long,Charlie Puth - Topic,How Long,Charlie Puth
High On Life,Martin Garrix - Topic,High On Life,Martin Garrix
A Sky Full of Stars,Coldplay - Topic,A Sky Full of Stars,Coldplay
All We Know,The Chainsmokers - Topic,All We Know,The Chainsmokers
The Ocean,Mike Perry - Topic,The Ocean,Mike Perry
Demons,Imagine Dragons - Topic,Demons,Imagine Dragons
One More Night,Maroon 5 - Topic,One More Night,Maroon 5
The Monster,Eminem - Topic,The Monster,Eminem
Work from Home,Fifth Harmony - Topic,Work from Home,Fifth Harmony
Sucker,Jonas Brothers - Topic,Sucker,Jonas Brothers 
Tonight Tonight,Hot Chelle Rae - Topic,Tonight Tonight,Hot Chelle Rae
Light Switch,Charlie Puth - Topic,Light Switch,Charlie Puth
Unstoppable,The Score - Topic,Unstoppable,The Score
Something Just Like This,The Chainsmokers - Topic,Something Just Like This,The Chainsmokers
Die For You (Remix),The Weeknd - Topic,Die For You,The Weeknd
Where We Started,Lost Sky - Topic,Where We Started,Lost Sky
Treat You Better,Shawn Mendes - Topic,Treat You Better,Shawn Mendes
Pompeii,Bastille - Topic,Pompeii,Bastille
Human,Rag'n'Bone Man - Topic,Human,Rag'n'Bone Man
"Hey, Soul Sister",Train - Topic,"Hey, Soul Sister",Train
Apologize,Timbaland - Topic,Apologize,Timbaland
Closer,The Chainsmokers - Topic,Closer,The Chainsmokers
In the Name of Love,Martin Garrix - Topic,In the Name of Love,Martin Garrix
Legends Never Die,League of Legends - Topic,Legends Never Die,League of Legends
Dusk Till Dawn (Radio Edit),ZAYN - Topic,Dusk Till Dawn,ZAYN
Toxic,BoyWithUke - Topic,Toxic,BoyWithUke
Snowman,Sia - Topic,Snowman,Sia
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth - Topic,We Don't Talk Anymore,Charlie Puth
Titanium (feat. Sia),David Guetta - Topic,Titanium,David Guetta 
IDGAF,Dua Lipa - Topic,IDGAF,Dua Lipa
STAY,The Kid Laroi - Topic,STAY,The Kid Laroi
Welcome to the Black Parade,My Chemical Romance - Topic,Welcome to the Black Parade,My Chemical Romance
The Middle,Zedd - Topic,The Middle,Zedd
Wake Me Up,Avicii - Topic,Wake Me Up,Avicii
Good Time,Owl City - Topic,Good Time,Owl City
It Ain't Me,Kygo - Topic,It Ain't Me,Kygo
Symphony (feat. Zara Larsson),Clean Bandit - Topic,Symphony,Clean Bandit
Call Me Maybe,Carly Rae Jepsen - Topic,Call Me Maybe,Carly Rae Jepsen
Love Yourself,Justin Bieber - Topic,Love Yourself,Justin Bieber
Counting Stars,OneRepublic - Topic,Counting Stars,OneRepublic
Darkside,Alan Walker - Topic,Darkside,Alan Walker
A Thousand Miles,Vanessa Carlton - Topic,A Thousand Miles,Vanessa Carlton
Sorry,Justin Bieber - Topic,Sorry,Justin Bieber
Without Me,Halsey - Topic,Without Me,Halsey
Clarity,Zedd - Topic,Clarity,Zedd
Uptown Funk,Mark Ronson - Topic,Uptown Funk,Mark Ronson
Stay,Zedd - Topic,Stay,Zedd
Centuries,Fall Out Boy - Topic,Centuries,Fall Out Boy
What Makes You Beautiful,One Direction - Topic,What Makes You Beautiful,One Direction
2002,Anne-Marie - Topic,2002,Anne-Marie
Faded,Alan Walker - Topic,Faded,Alan Walker 
Glimpse of Us,Joji - Topic,Glimpse of Us,Joji
TiK ToK,Kesha - Topic,TiK ToK,Kesha
I Love It (feat. Charli XCX),Icona Pop - Topic,I Love It,Icona Pop
So Sick,NE-YO - Topic,So Sick,NE-YO
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit - Topic,Rockabye,Clean Bandit
"Love Me Like You Do (From ""Fifty Shades Of Grey"")",Ellie Goulding - Topic,Love Me Like You Do ,Ellie Goulding
Shelter,Porter Robinson - Topic,Shelter,Porter Robinson
Memories,Maroon 5 - Topic,Memories,Maroon 5
イオ,Rokudenashi - Topic,イオ,Rokudenashi
ひゅるりらぱっぱ - HYURURIRAPAPPA,tuki. - Topic,ひゅるりらぱっぱ,tuki.
Rain with Cappuccino,Yorushika - Topic,Rain with Cappuccino,Yorushika
Lilac,Mrs. GREEN APPLE - Topic,Lilac,Mrs. GREEN APPLE
晩餐歌 - Bansanka,tuki. - Topic,晩餐歌,tuki. 
田村ゆかり「Play!」Music Video,田村ゆかり Official Channel,Play!,田村ゆかり
King Gnu - SPECIALZ (스페셜즈) | Cover by 테리눈나,테리눈나 Terri Nunna,SPECIALZ,King Gnu
Prod.Dex – Rainlight Magic (feat. jiwon) | Official Lyric MV #jpop,Prod. Dex,Rainlight Magic,Prod. Dex
두 송이 꽃 『二輪の花』 (퍼니싱:그레이 레이븐OST Official Korean ver.),DAZBEE official,두 송이 꽃,DAZBEE
Bursty Greedy Spider -鈴木このみ (Cover) / VESPERBELL カスカ × 松永依織,VESPERBELL,Bursty Greedy Spider,鈴木このみ
Show,Ado - Topic,Show,Ado
Moonlit Night,Lee Omong - Topic,Moonlit Night,Lee Omong
あやふや,Rokudenashi - Topic,あやふや,Rokudenashi
空唄,Kentaro feat. Yuna - Topic,空唄,Kentaro feat. Yuna
fish in the pool (ヘクとパスカル) ／ダズビー COVER,DAZBEE official,fish in the pool,ヘクとパスカル
オレンジ (Orange) / SPYAIR┃Raon cover,Raon,オレンジ,SPYAIR
【初音ミク】ビターチョコデコレーション【syudou】,syudou,ビターチョコデコレーション,syudou
【MV】「Aimai」/ 9Lana,9Lana,Aimai,9Lana
ロクデナシ「アルビレオ」/ Rokudenashi - Albireo【Official Music Video】,ロクデナシ,アルビレオ,ロクデナシ
DECO*27 - モニタリング feat. 初音ミク,DECO*27,モニタリング,DECO*27
Sunflower (Orangestar) ／ダズビー COVER,DAZBEE official,Sunflower,Orangestar
猫／DISH//【Covered by Hanon】,Hanon,猫,DISH
No More Rock ′n′ Roll,UmYull - Topic,No More Rock ′n′ Roll,UmYull 
絶対敵対メチャキライヤー - ミクと可不,メドミア,絶対敵対メチャキライヤー,メドミア
メズマライザー / 初音ミク・重音テトSV,サツキ,メズマライザー ,サツキ
Way Back Home,SHAUN - Topic,Way Back Home,SHAUN
なにやってもうまくいかない (meiyo ; asmi) ／ダズビー COVER,DAZBEE official,なにやってもうまくいかない,meiyo
涼海ネモ『 カタチのないもの 』 -Official Music Video-,涼海ネモ / Nemo Channel【ななしいんく】,カタチのないもの,涼海ネモ
『夜と幸せ』/ feat. 詩の出素。,MIMI,夜と幸せ,MIMI
yama『アダルトチックチルドレン』Music Video,yama,アダルトチックチルドレン,yama
That Band - Kessoku Band (with guitar intro),Paco Sanshiro,That Band,Kessoku Band
もうそう♡えくすぷれす (‎千石撫子(花澤香菜)) ／ダズビー COVER,DAZBEE official,もうそう♡えくすぷれす,花澤香菜
Miiro 「엔딩.」  feat. 새빛 (FULL ver.),Miiro,엔딩,Miiro
声 (HarryP) ／ダズビー COVER,DAZBEE official,声,HarryP
[J-POP] ベテルギウス (베텔기우스) - 優里(Yuuri) ┃여자듀엣┃Cover by ShE's,ShE's(쉬즈),ベテルギウス,Yuuri
スノースマイル (BUMP OF CHICKEN)／ダズビー COVER,DAZBEE official,スノースマイル,BUMP OF CHICKEN
Hebi - '늘 (EVER)' Official MV,Hebi.,늘,Hebi.
ときめきオーバードーズ【DANCE PRACTICE】,MAD MEDiCiNE,ときめきオーバードーズ,MAD MEDiCiNE
DAZBEE (ダズビー) | ‘砂嵐 (Sunaarashi)’ M/V,DAZBEE official,砂嵐,DAZBEE
【Ado】MAGIC,Ado,MAGIC,Ado
解けない夏 / Aqu3ra - Covered by しほ,しほ / shiho,解けない夏,Aqu3ra
Kentaro - 空唄 (feat.汐菜) Official Lyric Video,Kentaro,空唄,Kentaro
DAYBREAK FRONTLINE / Orangestar - Covered by しほ,しほ / shiho,DAYBREAK FRONTLINE,Orangestar
ロクデナシ「愛が灯る」/ Rokudenashi - The Flame of Love【Official Music Video】,ロクデナシ,愛が灯る,ロクデナシ
YOASOBI「勇者」 Official Music Video／TVアニメ『葬送のフリーレン』オープニングテーマ,Ayase / YOASOBI,勇者,YOASOBI
死神 (米津玄師) acoustic arrange ver.／ダズビー COVER,DAZBEE official,死神,米津玄師
雪解け (feat. 倚水),tayori - Topic,雪解け,tayori
Ghost In A Flower,Yorushika - Topic,Ghost In A Flower,Yorushika
Monster Forest (feat. DovIvI),Miiro - Topic,Monster Forest,Miiro
ユリイカ,Rokudenashi - Topic,ユリイカ,Rokudenashi 
My Name is Malguem (내 이름 맑음),QWER - Topic,내 이름 맑음,QWER
CHE.R.RY (YUI) ／ダズビー COVER,DAZBEE official,CHE.R.RY,YUI
"Again, Summer Vacation (feat. Boramiyu)",Smilegate RPG - Topic,"Again, Summer Vacation",Smilegate RPG
Slightly Tipsy (She is My Type♡ X SANDEUL) (취기를 빌려 (취향저격 그녀 X 산들)),Sandeul - Topic,취기를 빌려,산들
Kousui,DAZBEE - Topic,Kousui,DAZBEE
春を告げる (yama) ／ダズビー COVER,DAZBEE official,春を告げる,yama
꽃 FLOWER (Prod. AVIN),HAON - Topic,꽃,HAON
빈 하늘에 불꽃을 그린다 (Vocal 별은),MEANSHOCK - Topic,빈 하늘에 불꽃을 그린다,MEANSHOCK 
モエチャッカファイア (弌誠) ／ダズビー COVER,DAZBEE official,モエチャッカファイア,弌誠
비행운,MoonMoon - Topic,비행운,MoonMoon
Oort Cloud (오르트구름),Younha - Topic,오르트구름,Younha
Goodbye (Feat. Paul Blanco),ASH ISLAND - Topic,Goodbye,ASH ISLAND
붕붕 Boong-Boong (Feat. Sik-K) (Prod. GroovyRoom),HAON - Topic,붕붕,HAON 
Satellite,Gyubin - Topic,Satellite,Gyubin
My Dearest (supercell) ／ダズビー COVER,DAZBEE official,My Dearest,supercell
Blue Moon (Blue Moon),N.Flying - Topic,Blue Moon,N.Flying
それがあなたの幸せとしても (Heavenz) ／ダズビー COVER,DAZBEE official,それがあなたの幸せとしても,Heavenz
싸운날,BOL4 - Topic,싸운날,BOL4
"Guitar, Loneliness and Blue Planet",kessoku band - Topic,"Guitar, Loneliness and Blue Planet",kessoku band 
Nemurenai,MIMiNARI - Topic,Nemurenai,MIMiNARI 
グッバイ宣言,Chinozo - Topic,グッバイ宣言,Chinozo 
怪物,YOASOBI - Topic,怪物,YOASOBI
Ibitsuna Kotoba (Wanna be honest),DAZBEE - Topic,Ibitsuna Kotoba,DAZBEE
Backlight (UTA from ONE PIECE FILM RED),Ado - Topic,Backlight,Ado
夏を書き留める,Rokudenashi - Topic,夏を書き留める,Rokudenashi
Sunny,Yorushika - Topic,Sunny,Yorushika
Don't look up the flower language,Yuika - Topic,Don't look up the flower language,Yuika
The Last Flower,Airi Kanna - Topic,The Last Flower,Airi Kanna
DAYBREAK FRONTLINE,Wolpis Carter - Topic,DAYBREAK FRONTLINE,Wolpis Carter
Lemon,Kenshi Yonezu - Topic,Lemon,Kenshi Yonezu
花がら,tayori - Topic,花がら,tayori
NAME,Tsuzuri - Topic,NAME,Tsuzuri 
SHOUT OUT! (Feat. SAEBIT),Miiro - Topic,SHOUT OUT! ,Miiro
泥の分際で私だけの大切を奪おうだなんて,TUYU - Topic,泥の分際で私だけの大切を奪おうだなんて,TUYU
If I could be a constellation -We will B- Live version,kessoku band - Topic,If I could be a constellation,kessoku band
Kataomoi,DAZBEE - Topic,Kataomoi,DAZBEE
Martian,Yorushika - Topic,Martian,Yorushika
アルビレオ,Rokudenashi - Topic,アルビレオ,Rokudenashi 
シーソー - Seesaw,tuki. - Topic,シーソー,tuki. 
Oddloop,Frederic - Topic,Oddloop,Frederic
25 Degrees,UmYull - Topic,25 Degrees,UmYull
Hypocrite,UmYull - Topic,Hypocrite,UmYull
반비례 (反比例) (反比例),UmYull - Topic,반비례,UmYull
Song For Youth (시시한 청춘에 남기는 노래),UmYull - Topic,시시한 청춘에 남기는 노래,UmYull
Wishes of The Youth,UmYull - Topic,Wishes of The Youth,UmYull
CROXX,UmYull - Topic,CROXX,UmYull
Walldam (월담소녀),UmYull - Topic,월담소녀,UmYull
행복이론 (幸福理論) (幸福理論),UmYull - Topic,행복이론,UmYull
Illusionism,UmYull - Topic,Illusionism,UmYull
別れ／夜のひと笑い【Hanon×Kotoha】,MARUMOCHI from HoneyWorks,別れ,夜のひと笑い
Miiro 「목숨」 feat. 아카네 리제 OFFICIAL MV,Miiro,목숨,Miiro
YOASOBI「祝福」Official Music Video (『機動戦士ガンダム 水星の魔女』オープニングテーマ),Ayase / YOASOBI,祝福,YOASOBI
Desolation,UmYull - Topic,Desolation,UmYull
トドカナイカラ / 平井 堅  full covered by 春茶,春茶,トドカナイカラ,平井 堅
花の塔 / さユり covered by ゆらぎゆら ･ 音ノ瀬らこ,ゆらぎゆら / YuragiYura🌙🫧,花の塔,さユり
음율 (UmYull) - '피차일반 (彼此一般) (We're no different)' MV,CREPE SOUND,피차일반,음율
【MV】君と僕の秘密基地 ／ るぅと 【オリジナル】,るぅとちゃんねる【すとぷり】,君と僕の秘密基地 ,るぅと
LiSA / 불꽃 (炎)┃Cover by Hebi,헤비 Hebi,炎,LiSA
カタオモイ (Aimer) ／ダズビー COVER,DAZBEE official,カタオモイ,Aimer
*Luna - ラズライト (Lazurite)  feat.ゆある【6/28小説発売！】,*Luna,ラズライト,*Luna
tuki.『晩餐歌』Official Music Video,tuki.(16),晩餐歌,tuki.
DAZBEE (ダズビー) | ‘シュガーコート (Sugarcoat)’ M/V,DAZBEE official,シュガーコート,DAZBEE
ヨルシカ - 花に亡霊（OFFICIAL VIDEO）,ヨルシカ / n-buna Official,花に亡霊,ヨルシカ
ロクデナシ「星寂夜」/ Rokudenashi - Starry Silent Night【Official Music Video】,ロクデナシ,星寂夜,ロクデナシ
Hall of Fame,The Script - Topic,Hall of Fame,The Script
"Bye, Summer (바이, 썸머)",IU - Topic,"바이, 썸머",IU
Blood (feat. Akane Lize),Miiro - Topic,Blood,Miiro
雨景色,Rokudenashi - Topic,雨景色,Rokudenashi
八月、某、月明かり,Yorushika - Topic,八月、某、月明かり,Yorushika
P.R.R.W. (P.R.R.W.),Younha - Topic,P.R.R.W.,Younha
Seattle Alone,BOL4 - Topic,Seattle Alone,BOL4
Sou × sekai「sakura breeze」MV,Sou,sakura breeze,Sou
ロクデナシ「心の奥」/ Rokudenashi - Deep Down【Official Music Video】,ロクデナシ,心の奥,ロクデナシ
DAZBEE (ダズビー) | ‘フェアリィ (Fairy)’ M/V,DAZBEE official,フェアリィ,DAZBEE
[LIVE] 음율 - 'Intro + 로큰롤은 거절이야' (2025 2nd Concert 'Wishes of The Youth' IN SEOUL),음율 UmYull,로큰롤은 거절이야,음율
Golden,HUNTR/X - Topic,Golden,HUNTR/X
we can't be friends (wait for your love),Ariana Grande - Topic,we can't be friends (wait for your love),Ariana Grande
"10,000 Hours",Dan And Shay - Topic,"10,000 Hours",Dan And Shay
12:45 (Stripped),Etham - Topic,12:45 (Stripped),Etham
See You Again (feat. Charlie Puth),Wiz Khalifa - Topic,See You Again,Wiz Khalifa
Let Her Go,Passenger - Topic,Let Her Go,Passenger
comethru,Jeremy Zucker - Topic,comethru,Jeremy Zucker
Fire on Up,Paper Kings - Topic,Fire on Up,Paper Kings
Lonely World,K-391 - Topic,Lonely World,K-391
SNAP,Rosa Linn - Topic,SNAP,Rosa Linn
Cruel Summer,Taylor Swift - Topic,Cruel Summer,Taylor Swift
Someone You Loved,Lewis Capaldi - Topic,Someone You Loved,Lewis Capaldi 
"Steal The Show (From ""Elemental"")",Lauv - Topic,Steal The Show,Lauv
Don't Look Back in Anger (Remastered),Oasis - Topic,Don't Look Back in Anger,Oasis
Halsey - Without Me (Live - Fritz Session),Digster Pop Music,Without Me,Halsey
(🎄크리스마스 캐롤) ☃️ Snowman - Sia [가사/해석/lyrics] 시아,고막청소,Snowman,Sia
"🌟 늦게 들을수록 당신만 손해 : The Kid LAROI, Justin Bieber - Stay [가사/해석/lyrics]",때잉,Stay,"The Kid LAROI, Justin Bieber"
[Play] 도저히 가만 있을 수 없는 신나는 팝 Bruno Mars - Uptown Funk(가사해석포함),MIN PLAY,Uptown Funk,Bruno Mars
Perfect,Ed Sheeran - Topic,Perfect,Ed Sheeran
TE AMO,MIYEON - Topic,TE AMO,MIYEON
Radio,IOHBOY - Topic,Radio,IOHBOY
남이 될 수 있을까,BOL4 - Topic,남이 될 수 있을까,BOL4
"Love, Maybe (사랑인가 봐)",MeloMance - Topic,사랑인가 봐,MeloMance
One Day Of Twenty (스무살 어느 날),Younha - Topic,스무살 어느 날,Younha
ビビっとラブ／CHiCO with HoneyWorks meets まふまふ,CHiCO / CHiCO with HoneyWorks,ビビっとラブ,CHiCO
Miiro 「괴물이 피는 숲」 feat. 도비비 (Dovlvl) OFFICIAL MV,Miiro,괴물이 피는 숲,Miiro
Subtitle (Official髭男dism) ／ダズビー COVER,DAZBEE official,Subtitle,Official髭男dism
ロクデナシ「あやふや」/ Rokudenashi - Ambiguous【Official Music Video】,ロクデナシ,あやふや,ロクデナシ
Timing (feat. KIMMUSEUM & amin) (Acoustic),Dept - Topic,Timing ,Dept
Burn It Out,elley - Topic,Burn It Out,elley
니 소식,Ha Yea Song - Topic,니 소식,Ha Yea Song
On the street (Feat. ASH ISLAND),Leellamarz - Topic,On the street,Leellamarz 
Say Yes,Loco - Topic,Say Yes,Loco
Into the I-LAND (Into the I-LAND),IU - Topic,Into the I-LAND,IU
ONCE AGAIN,WINTER - Topic,ONCE AGAIN,WINTER
너를 생각해 - 경서(Kyoung Seo)ㅣ원곡 : 주시크 (Joosiq),경서,너를 생각해,주시크
X Song,BOL4 - Topic,X Song,BOL4
Sunﬁsh (태양물고기),Younha - Topic,태양물고기,Younha
"Rainy day (Feat. ASH ISLAND, Skinny Brown)",Pateko - Topic,Rainy day,Pateko
【薬屋のひとりごと】花になって (Be a flower/緑黄色社会) - くろくも (cover),Kurokumo Official ,花になって,緑黄色社会
world.execute(me); (Mili)／DAZBEE COVER,DAZBEE official,world.execute(me);,Mili
볼빨간 사춘기 - Cruel Summer,카페 도파밍,Cruel Summer,볼빨간 사춘기
That Night (by minZu) (Prod. Motto),merrymerryseoul - Topic,That Night,merrymerryseoul
Celebrity (Celebrity),IU - Topic,Celebrity,IU
Snail mail (느린 우체통),Younha - Topic,느린 우체통,Younha
HOME,WEi - Topic,HOME,WEi
Mermaid,BOL4 - Topic,Mermaid,BOL4
팅커벨 (tinker-ton),Woo Ye Rin - Topic,팅커벨,Woo Ye Rin
시차 (We Are) (Feat. 로꼬 & GRAY),Woo - Topic,시차,Woo 
ツユ - 風薫る空の下 MV,ツユ,風薫る空の下,ツユ
DAZBEE (ダズビー) | ‘アディオス (Adios)’ M/V,DAZBEE official,アディオス,DAZBEE
STARLIGHT (STARLIGHT),N.Flying - Topic,STARLIGHT,N.Flying 
SKYLINE (SKYLINE),SEJEONG - Topic,SKYLINE,SEJEONG
Stardust (별의 조각),Younha - Topic,별의 조각,Younha
사랑에 빠졌을 때,BOL4 - Topic,사랑에 빠졌을 때,BOL4 
晩餐歌 (弾き語りver) - Bansanka (Acoustic ver),tuki. - Topic,晩餐歌,tuki.
120BPM (첫 키스에 내 심장은 120BPM),KyoungSeo - Topic,120BPM,KyoungSeo
빛이 들지 않는 곳에서 (feat. 별은),MEANSHOCK - Topic,빛이 들지 않는 곳에서,MEANSHOCK
마른 꽃들의 노래,Woo Ye Rin - Topic,마른 꽃들의 노래,Woo Ye Rin
서울의 잠 못 이루는 밤,10CM - Topic,서울의 잠 못 이루는 밤,10CM
Love poem (Love poem),IU - Topic,Love poem,IU
Smoking Roses (Feat. Leellamarz),ASH ISLAND - Topic,Smoking Roses,ASH ISLAND 
Lost Ember’ (Lost Ember’),YONGYONG - Topic,Lost Ember’,YONGYONG
Spring Thief,Yorushika - Topic,Spring Thief,Yorushika 
썸 탈꺼야,BOL4 - Topic,썸 탈꺼야,BOL4
Point Nemo (포인트 니모),Younha - Topic,포인트 니모,Younha
